serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
2AGPMGGY,0,0,,,,0,0,0,1,0.0016253500944003463,,2019-05-16,
2AGPMM3Y,0,0,,,,0,0,0,1,0.00047902067308314145,,2019-05-27,
2AGPMN9Y,0,0,,,,0,0,0,1,0.00050720339640975,,2019-05-27,
2AGPMRDY,0,0,,,,0,0,0,1,0.0013615477364510298,,2019-05-27,
2AGPMY1Y,0,0,,,,0,0,0,1,0.0020024108234792948,,2019-05-16,
2AGPN6PY,0,0,,,,0,0,0,1,0.014893430285155773,,2019-05-16,
2AGPPJAY,0,0,,,,0,0,0,1,0.001228251843713224,,2019-05-16,
2AGPPLLY,1,1,2023-10-31,2023-11-29,29.0,1,0,0,0,0.09410477429628372,0.09067998826503754,2019-05-16,1629.0
2AGPR6YY,0,0,,,,0,0,0,1,0.0015149681130424142,,2019-05-16,
2AGPR7RY,0,0,,,,0,0,0,1,0.0018597329035401344,,2019-05-16,
2AGPR8EY,0,0,,,,0,0,0,1,0.0015133669367060065,,2019-05-16,
2AGPRL8Y,0,0,,,,0,0,0,1,0.00046374910743907094,,2019-05-27,
2AGPRMLY,1,0,,2026-03-26,,0,0,1,0,0.004640691448003054,,2019-08-13,
2AGPRMRY,1,0,,2024-08-12,,0,0,1,0,0.00044712910312227905,,2019-05-04,
2AGPRRJY,0,0,,,,0,0,0,1,0.0419289730489254,,2019-05-04,
2AGPS2ZY,0,0,,,,0,0,0,1,0.0018737947102636099,,2019-05-16,
2AGPSEDY,0,0,,,,0,0,0,1,0.0006177683244459331,,2019-05-27,
2AGPSG5Y,0,0,,,,0,0,0,1,0.0016500900965183973,,2019-05-27,
2AGPSGKY,0,0,,,,0,0,0,1,0.0008956263191066682,,2019-08-13,
2AGPSJKY,0,0,,,,0,0,0,1,0.0017647434724494815,,2019-08-13,
2AGPSRUY,0,0,,,,0,0,0,1,0.0012548095546662807,,2019-05-16,
2AGPT2PY,0,0,,,,0,0,0,1,0.0022314090747386217,,2019-08-13,
2AGPT48Y,0,0,,,,0,0,0,1,0.0013403675984591246,,2019-06-01,
2AGPT7PY,0,0,,,,0,0,0,1,0.0042845201678574085,,2019-08-13,
2AGPTL4Y,0,0,,,,0,0,0,1,0.0012634029844775796,,2019-05-27,
2AGPTVLY,0,0,,,,0,0,0,1,0.0016092653386294842,,2019-06-01,
5PG0TA6F,0,0,,,,0,0,0,1,0.0006126001826487482,,2020-07-14,
5PG0TAKF,0,0,,,,0,0,0,1,0.0013359223958104849,,2020-05-10,
5PJEJUHE,0,0,,,,0,0,0,1,0.0035453257150948048,,2021-12-28,
5PJJHD9C,0,0,,,,0,0,0,1,0.0007417751476168633,,2022-07-18,
5PJJLZTF,0,0,,,,0,0,0,1,0.0018292737659066916,,2021-12-03,
5PJKZP4D,0,0,,,,0,0,0,1,0.004672982729971409,,2022-08-04,
5PJVPJGF,0,0,,,,0,0,0,1,0.0026882346719503403,,2021-05-16,
5PK10N4B,0,0,,,,0,0,0,1,0.0010103312088176608,,2024-12-22,
5PK5ZB1B,0,0,,,,0,0,0,1,0.0023829422425478697,,2024-04-29,
5PKEBJVB,0,0,,,,0,0,0,1,0.0013072291621938348,,2023-11-27,
5PKVXW6B,0,0,,,,0,0,0,1,0.0013081160141155124,,2024-06-01,
5QG63PMB,0,0,,,,0,0,0,1,0.0016976883634924889,,2024-05-28,
5QGBH0MB,0,0,,,,0,0,0,1,0.003051724983379245,,2023-12-09,
5QGG5KLB,0,0,,,,0,0,0,1,0.002551691373810172,,2023-04-05,
5QGG5UPB,0,0,,,,0,0,0,1,0.0035979694221168756,,2022-12-06,
5QGGAELB,1,1,2025-01-02,2025-06-04,153.0,1,0,0,0,0.3223632872104645,0.09661535918712616,2023-03-28,646.0
5QGGHWVB,0,0,,,,0,0,0,1,0.0015154724242165685,,2023-12-16,
5QH0Z60B,1,1,2024-02-19,2024-05-14,85.0,1,0,0,0,0.4196483790874481,0.0934925451874733,2023-10-22,120.0
5QHDKVHB,0,0,,,,0,0,0,1,0.0024509765207767487,,2023-11-17,
5QHKE66B,0,0,,,,0,0,0,1,0.0023555245716124773,,2024-04-18,
5QHYP4MB,0,0,,,,0,0,0,1,0.0021947443019598722,,2024-05-15,
5QJBW5VB,1,1,2024-05-08,2024-05-25,17.0,1,0,0,0,0.4460905194282532,0.10326632857322693,2024-02-07,91.0
5QJS57NB,0,0,,,,0,0,0,1,0.0014259204035624862,,2024-01-23,
5QKBEVWB,0,0,,,,0,0,0,1,0.0015685725957155228,,2023-12-14,
5QKDK07B,0,0,,,,0,0,0,1,0.0012079800944775343,,2024-12-20,
5QKHBVPB,0,0,,,,0,0,0,1,0.0014787523541599512,,2024-05-30,
5QKKSM3B,0,0,,,,0,0,0,1,0.0028710232581943274,,2024-04-06,
5QKV55TB,0,0,,,,0,0,0,1,0.0013073146110400558,,2024-02-29,
5QKV6W0B,0,0,,,,0,0,0,1,0.0022608947474509478,,2023-08-14,
5QKV74SB,0,0,,,,0,0,0,1,0.0017146088648587465,,2024-01-09,
5QKV778B,0,0,,,,0,0,0,1,0.0023850402794778347,,2024-06-07,
5QKV7UHB,0,0,,,,0,0,0,1,0.003243108978495002,,2024-03-04,
5QKV85UB,0,0,,,,0,0,0,1,0.0015576998703181744,,2023-12-02,
5QKVAN8B,0,0,,,,0,0,0,1,0.0013095159083604813,,2023-12-24,
5QKVARLB,0,0,,,,0,0,0,1,0.0008216159767471254,,2023-11-03,
