serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score
ZCH06MSY,0,1,2019-08-15,,,0,1,0,0,0.9653128385543823,0.9643300175666809
ZCH06MT6,0,0,,,,0,0,0,1,0.6507224440574646,
ZCH06MVV,0,0,,,,0,0,0,1,0.5595102906227112,
ZCH06MW5,0,0,,,,0,0,0,1,0.5778326988220215,
ZCH06MWR,0,0,,,,0,0,0,1,0.6310862898826599,
ZCH06MYQ,0,0,,,,0,0,0,1,0.5744457840919495,
ZCH06N1S,0,0,,,,0,0,0,1,0.5503432750701904,
ZCH06N22,0,0,,,,0,0,0,1,0.5527083277702332,
ZCH06N2F,0,0,,,,0,0,0,1,0.4524666368961334,
ZCH06N2P,0,0,,,,0,0,0,1,0.5825231671333313,
ZCH06N3A,0,0,,,,0,0,0,1,0.9218685030937195,
ZCH06N3F,0,0,,,,0,0,0,1,0.689924955368042,
ZCH06N7X,0,0,,,,0,0,0,1,0.4225284457206726,
ZCH06N82,0,0,,,,0,0,0,1,0.6355636715888977,
ZCH06N8S,0,0,,,,0,0,0,1,0.5760923027992249,
ZCH06N91,0,0,,,,0,0,0,1,0.6379441618919373,
ZCH06NAN,1,0,,2018-10-05,,0,0,1,0,0.7056188583374023,
ZCH06NAP,0,0,,,,0,0,0,1,0.5957790613174438,
ZCH06NCM,0,0,,,,0,0,0,1,0.6519238948822021,
ZCH06NEZ,0,0,,,,0,0,0,1,0.49222731590270996,
ZCH06NFW,0,0,,,,0,0,0,1,0.45059141516685486,
ZCH06NFZ,0,0,,,,0,0,0,1,0.6707897782325745,
ZCH06NHP,0,0,,,,0,0,0,1,0.5586391687393188,
ZCH06NHZ,0,0,,,,0,0,0,1,0.5121688842773438,
ZCH06NKQ,0,1,2019-09-25,,,0,1,0,0,0.990662693977356,0.9671015739440918
ZCH06NL8,0,1,2019-05-15,,,0,1,0,0,0.978172779083252,0.9711575508117676
ZCH06PAN,0,0,,,,0,0,0,1,0.820881187915802,
ZCH06RSD,0,0,,,,0,0,0,1,0.6201187372207642,
ZCH06TA7,0,0,,,,0,0,0,1,0.5509214997291565,
