dataset,model,seed,burden,n_alarmed,n_fail,ear,within_5,recall_5,within_7,recall_7,within_10,recall_10,within_15,recall_15,within_30,recall_30,within_60,recall_60,within_90,recall_90,within_180,recall_180,within_365,recall_365
HGST,LGBM,68,0.05,43,162,0.04916593503072871,0.0,0.0,0.0,0.0,0.023255813953488372,0.006172839506172839,0.09302325581395349,0.024691358024691357,0.16279069767441862,0.043209876543209874,0.3023255813953488,0.08024691358024691,0.3488372093023256,0.09259259259259259,0.5581395348837209,0.14814814814814814,0.7674418604651163,0.2037037037037037
HGST,LGBM,69,0.01,17,162,0.009657594381035996,0.23529411764705882,0.024691358024691357,0.23529411764705882,0.024691358024691357,0.29411764705882354,0.030864197530864196,0.29411764705882354,0.030864197530864196,0.4117647058823529,0.043209876543209874,0.47058823529411764,0.04938271604938271,0.5294117647058824,0.05555555555555555,0.7647058823529411,0.08024691358024691,0.8823529411764706,0.09259259259259259
HGST,LGBM,69,0.05,60,162,0.048287971905179985,0.13333333333333333,0.04938271604938271,0.18333333333333332,0.06790123456790123,0.26666666666666666,0.09876543209876543,0.3333333333333333,0.12345679012345678,0.4166666666666667,0.15432098765432098,0.5166666666666667,0.19135802469135801,0.5666666666666667,0.20987654320987653,0.7,0.25925925925925924,0.8666666666666667,0.32098765432098764
HGST,LGBM,70,0.01,21,162,0.009657594381035996,0.14285714285714285,0.018518518518518517,0.23809523809523808,0.030864197530864196,0.2857142857142857,0.037037037037037035,0.38095238095238093,0.04938271604938271,0.47619047619047616,0.06172839506172839,0.5714285714285714,0.07407407407407407,0.6666666666666666,0.08641975308641975,0.7619047619047619,0.09876543209876543,0.9047619047619048,0.11728395061728394
HGST,LGBM,70,0.05,43,162,0.043898156277436345,0.11627906976744186,0.030864197530864196,0.20930232558139536,0.05555555555555555,0.27906976744186046,0.07407407407407407,0.3023255813953488,0.08024691358024691,0.37209302325581395,0.09876543209876543,0.5348837209302325,0.1419753086419753,0.627906976744186,0.16666666666666666,0.7441860465116279,0.19753086419753085,0.8837209302325582,0.2345679012345679
HGST,LGBM,71,0.01,10,162,0.00877963125548727,0.0,0.0,0.1,0.006172839506172839,0.2,0.012345679012345678,0.3,0.018518518518518517,0.4,0.024691358024691357,0.5,0.030864197530864196,0.5,0.030864197530864196,0.8,0.04938271604938271,1.0,0.06172839506172839
HGST,LGBM,71,0.05,55,162,0.04916593503072871,0.09090909090909091,0.030864197530864196,0.12727272727272726,0.043209876543209874,0.18181818181818182,0.06172839506172839,0.18181818181818182,0.06172839506172839,0.2545454545454545,0.08641975308641975,0.34545454545454546,0.11728395061728394,0.41818181818181815,0.1419753086419753,0.6909090909090909,0.2345679012345679,0.8545454545454545,0.29012345679012347
HGST,XGB,42,0.01,12,162,0.007023705004389816,0.25,0.018518518518518517,0.4166666666666667,0.030864197530864196,0.4166666666666667,0.030864197530864196,0.5,0.037037037037037035,0.5833333333333334,0.043209876543209874,0.6666666666666666,0.04938271604938271,0.6666666666666666,0.04938271604938271,0.8333333333333334,0.06172839506172839,1.0,0.07407407407407407
HGST,XGB,42,0.05,60,162,0.04916593503072871,0.16666666666666666,0.06172839506172839,0.21666666666666667,0.08024691358024691,0.21666666666666667,0.08024691358024691,0.26666666666666666,0.09876543209876543,0.36666666666666664,0.13580246913580246,0.45,0.16666666666666666,0.5333333333333333,0.19753086419753085,0.75,0.2777777777777778,0.8666666666666667,0.32098765432098764
HGST,XGB,43,0.01,17,162,0.009657594381035996,0.17647058823529413,0.018518518518518517,0.23529411764705882,0.024691358024691357,0.29411764705882354,0.030864197530864196,0.35294117647058826,0.037037037037037035,0.4117647058823529,0.043209876543209874,0.5294117647058824,0.05555555555555555,0.5882352941176471,0.06172839506172839,0.7647058823529411,0.08024691358024691,0.8823529411764706,0.09259259259259259
HGST,XGB,43,0.05,54,162,0.04916593503072871,0.09259259259259259,0.030864197530864196,0.12962962962962962,0.043209876543209874,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.2777777777777778,0.09259259259259259,0.42592592592592593,0.1419753086419753,0.5185185185185185,0.1728395061728395,0.6296296296296297,0.20987654320987653,0.8148148148148148,0.2716049382716049
