dataset,model,seed,window,tau,alarmed,burden,n_cens
HGST,LGBM,67,-1,0.7476573281391877,24,0.02456499488229273,977
HGST,LGBM,68,180,0.22837437499700936,1,0.0010235414534288639,977
HGST,LGBM,68,365,0.22837437499700936,1,0.0010235414534288639,977
HGST,LGBM,68,730,0.22837437499700936,1,0.0010235414534288639,977
HGST,LGBM,68,1095,0.22837437499700936,2,0.0020470829068577278,977
HGST,LGBM,68,1460,0.22837437499700936,4,0.0040941658137154556,977
HGST,LGBM,68,-1,0.22837437499700936,24,0.02456499488229273,977
HGST,LGBM,69,180,0.44407005143991046,2,0.0020470829068577278,977
HGST,LGBM,69,365,0.44407005143991046,3,0.0030706243602865915,977
HGST,LGBM,69,730,0.44407005143991046,3,0.0030706243602865915,977
HGST,LGBM,69,1095,0.44407005143991046,3,0.0030706243602865915,977
HGST,LGBM,69,1460,0.44407005143991046,4,0.0040941658137154556,977
HGST,LGBM,69,-1,0.44407005143991046,24,0.02456499488229273,977
HGST,LGBM,70,180,0.6103216581997196,5,0.00511770726714432,977
HGST,LGBM,70,365,0.6103216581997196,7,0.007164790174002047,977
HGST,LGBM,70,730,0.6103216581997196,7,0.007164790174002047,977
HGST,LGBM,70,1095,0.6103216581997196,8,0.008188331627430911,977
HGST,LGBM,70,1460,0.6103216581997196,9,0.009211873080859774,977
HGST,LGBM,70,-1,0.6103216581997196,24,0.02456499488229273,977
HGST,LGBM,71,180,0.019500243100177683,2,0.0020470829068577278,977
HGST,LGBM,71,365,0.019500243100177683,3,0.0030706243602865915,977
HGST,LGBM,71,730,0.019500243100177683,3,0.0030706243602865915,977
HGST,LGBM,71,1095,0.019500243100177683,3,0.0030706243602865915,977
HGST,LGBM,71,1460,0.019500243100177683,5,0.00511770726714432,977
HGST,LGBM,71,-1,0.019500243100177683,27,0.027635619242579325,977
