dataset,model,seed,split,threshold_kind,threshold,N_on_time,N_early,N_missed,N_censored_early,N_censored_no_alarm,N_failed,N_censored,N_alarmed,precision,recall,f1,far,on_time_share,mean_lead_time,median_lead_time,std_lead_time
HGST_20HUH721212ALN604,GRU,46,val,row_opt,0.035,20,98,42,52,923,160,975,170,0.117647,0.125,0.121212,0.053333,0.169492,285.06,204.0,290.3
HGST_20HUH721212ALN604,GRU,46,val,disk_opt,0.154,16,38,106,9,966,160,975,63,0.253968,0.1,0.143498,0.009231,0.296296,137.39,75.5,165.75
HGST_20HUH721212ALN604,GRU,46,test,row_opt,0.035,11,98,53,56,921,162,977,165,0.066667,0.067901,0.067278,0.057318,0.100917,305.61,185.0,311.63
HGST_20HUH721212ALN604,GRU,46,test,disk_opt,0.154,23,34,105,15,962,162,977,72,0.319444,0.141975,0.196581,0.015353,0.403509,164.07,75.0,255.12
HGST_20HUH721212ALN604,GRU,47,val,row_opt,0.032,22,101,37,68,907,160,975,191,0.115183,0.1375,0.125356,0.069744,0.178862,274.1,209.0,258.04
HGST_20HUH721212ALN604,GRU,47,val,disk_opt,0.2,20,35,105,9,966,160,975,64,0.3125,0.125,0.178571,0.009231,0.363636,114.02,56.0,141.12
HGST_20HUH721212ALN604,GRU,47,test,row_opt,0.032,12,99,51,76,901,162,977,187,0.064171,0.074074,0.068768,0.077789,0.108108,310.48,224.0,305.09
HGST_20HUH721212ALN604,GRU,47,test,disk_opt,0.2,23,38,101,17,960,162,977,78,0.294872,0.141975,0.191667,0.0174,0.377049,151.03,66.0,223.44
HGST_20HUH721212ALN604,GRU,48,val,row_opt,0.039,15,96,49,48,927,160,975,159,0.09434,0.09375,0.094044,0.049231,0.135135,277.12,194.0,285.6
HGST_20HUH721212ALN604,GRU,48,val,disk_opt,0.122,14,47,99,9,966,160,975,70,0.2,0.0875,0.121739,0.009231,0.229508,160.97,81.0,191.01
HGST_20HUH721212ALN604,GRU,48,test,row_opt,0.039,12,95,55,58,919,162,977,165,0.072727,0.074074,0.073394,0.059365,0.11215,310.96,210.0,313.68
HGST_20HUH721212ALN604,GRU,48,test,disk_opt,0.122,20,45,97,18,959,162,977,83,0.240964,0.123457,0.163265,0.018424,0.307692,165.31,76.0,253.37
HGST_20HUH721212ALN604,GRU,49,val,row_opt,0.038,17,100,43,57,918,160,975,174,0.097701,0.10625,0.101796,0.058462,0.145299,296.97,232.0,287.77
HGST_20HUH721212ALN604,GRU,49,val,disk_opt,0.214,13,24,123,9,966,160,975,46,0.282609,0.08125,0.126214,0.009231,0.351351,113.41,53.0,148.61
HGST_20HUH721212ALN604,GRU,49,test,row_opt,0.038,9,104,49,68,909,162,977,181,0.049724,0.055556,0.052478,0.069601,0.079646,317.6,226.0,313.17
HGST_20HUH721212ALN604,GRU,49,test,disk_opt,0.214,23,21,118,11,966,162,977,55,0.418182,0.141975,0.211982,0.011259,0.522727,139.23,29.5,245.44
HGST_20HUH721212ALN604,GRU,50,val,row_opt,0.043,18,106,36,71,904,160,975,195,0.092308,0.1125,0.101408,0.072821,0.145161,293.4,209.5,289.77
HGST_20HUH721212ALN604,GRU,50,val,disk_opt,0.283,19,27,114,9,966,160,975,55,0.345455,0.11875,0.176744,0.009231,0.413043,138.09,43.5,203.86
HGST_20HUH721212ALN604,GRU,50,test,row_opt,0.043,11,106,45,76,901,162,977,193,0.056995,0.067901,0.061972,0.077789,0.094017,315.02,225.0,312.04
HGST_20HUH721212ALN604,GRU,50,test,disk_opt,0.283,25,25,112,20,957,162,977,70,0.357143,0.154321,0.215517,0.020471,0.5,139.0,30.5,268.55
