dataset,model,seed,split,threshold_kind,threshold,precision,recall,f1,far,auroc,tp,fp,fn,tn
HGST_20HUH721212ALN604,GRU,50,test,disk_opt,0.283,0.210026,0.102402,0.137677,0.000688,0.919377,486,1828,4260,2655297
HGST_20HUH721212ALN604,GRU,51,val,row_opt,0.042,0.088172,0.530471,0.15121,0.009839,0.923975,2533,26195,2242,2636044
HGST_20HUH721212ALN604,GRU,51,val,disk_opt,0.238,0.238786,0.113717,0.154064,0.00065,0.923975,543,1731,4232,2660508
HGST_20HUH721212ALN604,GRU,51,test,row_opt,0.042,0.071164,0.452802,0.122997,0.010556,0.921946,2149,28049,2597,2629076
HGST_20HUH721212ALN604,GRU,51,test,disk_opt,0.238,0.187976,0.09882,0.12954,0.000762,0.921946,469,2026,4277,2655099
HGST_20HUH721212ALN604,GRU,52,val,row_opt,0.042,0.087592,0.522304,0.150024,0.009758,0.921617,2494,25979,2281,2636260
HGST_20HUH721212ALN604,GRU,52,val,disk_opt,0.212,0.252623,0.131099,0.172618,0.000696,0.921617,626,1852,4149,2660387
HGST_20HUH721212ALN604,GRU,52,test,row_opt,0.042,0.070066,0.446481,0.121124,0.010584,0.911255,2119,28124,2627,2629001
HGST_20HUH721212ALN604,GRU,52,test,disk_opt,0.212,0.210164,0.115887,0.149396,0.000778,0.911255,550,2067,4196,2655058
HGST_20HUH721212ALN604,GRU,53,val,row_opt,0.044,0.082374,0.491309,0.141092,0.009817,0.92827,2346,26134,2429,2636105
HGST_20HUH721212ALN604,GRU,53,val,disk_opt,0.217,0.253217,0.103037,0.146472,0.000545,0.92827,492,1451,4283,2660788
HGST_20HUH721212ALN604,GRU,53,test,row_opt,0.044,0.07192,0.438685,0.123579,0.010111,0.915575,2082,26867,2664,2630258
HGST_20HUH721212ALN604,GRU,53,test,disk_opt,0.217,0.172331,0.105773,0.131088,0.000907,0.915575,502,2411,4244,2654714
HGST_20HUH721212ALN604,GRU,54,val,row_opt,0.038,0.084691,0.51288,0.145376,0.009942,0.925355,2449,26468,2326,2635771
HGST_20HUH721212ALN604,GRU,54,val,disk_opt,0.194,0.265022,0.087749,0.131844,0.000436,0.925355,419,1162,4356,2661077
HGST_20HUH721212ALN604,GRU,54,test,row_opt,0.038,0.07148,0.457016,0.123625,0.010604,0.915587,2169,28175,2577,2628950
HGST_20HUH721212ALN604,GRU,54,test,disk_opt,0.194,0.190764,0.093131,0.125159,0.000706,0.915587,442,1875,4304,2655250
HGST_20HUH721212ALN604,GRU,55,val,row_opt,0.033,0.080992,0.486492,0.138865,0.009901,0.925494,2323,26359,2452,2635880
HGST_20HUH721212ALN604,GRU,55,val,disk_opt,0.131,0.209115,0.114346,0.147847,0.000776,0.925494,546,2065,4229,2660174
HGST_20HUH721212ALN604,GRU,55,test,row_opt,0.033,0.069709,0.460598,0.121091,0.010979,0.915394,2186,29173,2560,2627952
HGST_20HUH721212ALN604,GRU,55,test,disk_opt,0.131,0.177112,0.133375,0.152163,0.001107,0.915394,633,2941,4113,2654184
HGST_20HUH721212ALN604,GRU,56,val,row_opt,0.038,0.086351,0.518325,0.14804,0.009836,0.92641,2475,26187,2300,2636052
HGST_20HUH721212ALN604,GRU,56,val,disk_opt,0.139,0.205359,0.186178,0.195299,0.001292,0.92641,889,3440,3886,2658799
HGST_20HUH721212ALN604,GRU,56,test,row_opt,0.038,0.072613,0.475348,0.125981,0.010844,0.921563,2256,28813,2490,2628312
HGST_20HUH721212ALN604,GRU,56,test,disk_opt,0.139,0.174647,0.185209,0.179773,0.001563,0.921563,879,4154,3867,2652971
HGST_20HUH721212ALN604,GRU,57,val,row_opt,0.039,0.084444,0.512251,0.144987,0.009962,0.927432,2446,26520,2329,2635719
HGST_20HUH721212ALN604,GRU,57,val,disk_opt,0.226,0.286635,0.102408,0.150903,0.000457,0.927432,489,1217,4286,2661022
HGST_20HUH721212ALN604,GRU,57,test,row_opt,0.039,0.070737,0.478719,0.123261,0.011233,0.921926,2272,29847,2474,2627278
HGST_20HUH721212ALN604,GRU,57,test,disk_opt,0.226,0.235027,0.109145,0.149065,0.000635,0.921926,518,1686,4228,2655439
HGST_20HUH721212ALN604,GRU,58,val,row_opt,0.037,0.082999,0.502199,0.142454,0.009952,0.928099,2398,26494,2377,2635745
HGST_20HUH721212ALN604,GRU,58,val,disk_opt,0.176,0.231977,0.120628,0.158721,0.000716,0.928099,576,1907,4199,2660332
HGST_20HUH721212ALN604,GRU,58,test,row_opt,0.037,0.074787,0.481669,0.129471,0.010643,0.915621,2286,28281,2460,2628844
HGST_20HUH721212ALN604,GRU,58,test,disk_opt,0.176,0.194425,0.117573,0.146534,0.00087,0.915621,558,2312,4188,2654813
HGST_20HUH721212ALN604,GRU,59,val,row_opt,0.033,0.087454,0.510366,0.149321,0.009552,0.923444,2437,25429,2338,2636810
HGST_20HUH721212ALN604,GRU,59,val,disk_opt,0.111,0.2015,0.168796,0.183704,0.0012,0.923444,806,3194,3969,2659045
HGST_20HUH721212ALN604,GRU,59,test,row_opt,0.033,0.067039,0.448167,0.116631,0.01114,0.921089,2127,29601,2619,2627524
HGST_20HUH721212ALN604,GRU,59,test,disk_opt,0.111,0.146508,0.153392,0.149871,0.001596,0.921089,728,4241,4018,2652884
HGST_20HUH721212ALN604,GRU,60,val,row_opt,0.036,0.085522,0.517487,0.146786,0.009925,0.92479,2471,26422,2304,2635817
HGST_20HUH721212ALN604,GRU,60,val,disk_opt,0.155,0.242043,0.136963,0.174936,0.000769,0.92479,654,2048,4121,2660191
HGST_20HUH721212ALN604,GRU,60,test,row_opt,0.036,0.070608,0.471344,0.122818,0.011082,0.913219,2237,29445,2509,2627680
HGST_20HUH721212ALN604,GRU,60,test,disk_opt,0.155,0.176856,0.119469,0.142606,0.000993,0.913219,567,2639,4179,2654486
HGST_20HUH721212ALN604,GRU,61,val,row_opt,0.035,0.085112,0.505969,0.145713,0.009755,0.924422,2416,25970,2359,2636269
HGST_20HUH721212ALN604,GRU,61,val,disk_opt,0.164,0.225264,0.143037,0.174971,0.000882,0.924422,683,2349,4092,2659890
HGST_20HUH721212ALN604,GRU,61,test,row_opt,0.035,0.066615,0.452802,0.116143,0.011332,0.917144,2149,30111,2597,2627014
HGST_20HUH721212ALN604,GRU,61,test,disk_opt,0.164,0.200899,0.131901,0.159247,0.000937,0.917144,626,2490,4120,2654635
HGST_20HUH721212ALN604,GRU,62,val,row_opt,0.039,0.086556,0.517487,0.148306,0.009795,0.93123,2471,26077,2304,2636162
HGST_20HUH721212ALN604,GRU,62,val,disk_opt,0.207,0.232756,0.143455,0.177507,0.000848,0.93123,685,2258,4090,2659981
HGST_20HUH721212ALN604,GRU,62,test,row_opt,0.039,0.068893,0.461231,0.11988,0.011134,0.918799,2189,29585,2557,2627540
HGST_20HUH721212ALN604,GRU,62,test,disk_opt,0.207,0.181419,0.121787,0.145739,0.000982,0.918799,578,2608,4168,2654517
HGST_20HUH721212ALN604,XGB,43,val,row_opt,0.023,0.080644,0.453194,0.136923,0.009267,0.909896,2164,24670,2611,2637569
HGST_20HUH721212ALN604,XGB,43,val,disk_opt,0.535,0.257143,0.026387,0.047863,0.000137,0.909896,126,364,4649,2661875
HGST_20HUH721212ALN604,XGB,43,test,row_opt,0.023,0.085544,0.452592,0.143891,0.008642,0.917219,2148,22962,2598,2634163
HGST_20HUH721212ALN604,XGB,43,test,disk_opt,0.535,0.151645,0.022335,0.038935,0.000223,0.917219,106,593,4640,2656532
HGST_20HUH721212ALN604,XGB,44,val,row_opt,0.041,0.079375,0.474555,0.136002,0.009872,0.924201,2266,26282,2509,2635957
HGST_20HUH721212ALN604,XGB,44,val,disk_opt,0.432,0.274709,0.039581,0.069193,0.000187,0.924201,189,499,4586,2661740
HGST_20HUH721212ALN604,XGB,44,test,row_opt,0.041,0.080886,0.466077,0.137849,0.009459,0.924411,2212,25135,2534,2631990
HGST_20HUH721212ALN604,XGB,44,test,disk_opt,0.432,0.202349,0.047198,0.076542,0.000332,0.924411,224,883,4522,2656242
HGST_20HUH721212ALN604,XGB,45,val,row_opt,0.007,0.07495,0.44377,0.128242,0.009824,0.904672,2119,26153,2656,2636086
HGST_20HUH721212ALN604,XGB,45,val,disk_opt,0.762,0.283784,0.013194,0.025215,6e-05,0.904672,63,159,4712,2662080
HGST_20HUH721212ALN604,XGB,45,test,row_opt,0.007,0.078377,0.455963,0.133762,0.009577,0.897134,2164,25446,2582,2631679
HGST_20HUH721212ALN604,XGB,45,test,disk_opt,0.762,0.172131,0.017699,0.032098,0.000152,0.897134,84,404,4662,2656721
HGST_20HUH721212ALN604,XGB,46,val,row_opt,0.013,0.08555,0.457382,0.144139,0.008769,0.915115,2184,23345,2591,2638894
HGST_20HUH721212ALN604,XGB,46,val,disk_opt,0.679,0.279245,0.015497,0.029365,7.2e-05,0.915115,74,191,4701,2662048
HGST_20HUH721212ALN604,XGB,46,test,row_opt,0.013,0.081287,0.443531,0.137393,0.008954,0.917564,2105,23791,2641,2633334
HGST_20HUH721212ALN604,XGB,46,test,disk_opt,0.679,0.152632,0.018331,0.032731,0.000182,0.917564,87,483,4659,2656642
HGST_20HUH721212ALN604,XGB,47,val,row_opt,0.021,0.077603,0.463665,0.132953,0.009885,0.919096,2214,26316,2561,2635923
HGST_20HUH721212ALN604,XGB,47,val,disk_opt,0.254,0.317888,0.12356,0.177952,0.000476,0.919096,590,1266,4185,2660973
