experiment,drive,model,family,rule,far_target,n_seeds,n_failed_pooled,n_healthy_pooled,recall_mean,recall_sd,precision_mean,precision_sd,far_mean,far_sd,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,tp_mean,tp_sd
zoo_3month,HGST_20HUH721212ALN604,inceptiontime,sequence,in_horizon,0.005,1,47,29247,0.3404255319148936,0.0,0.09815950920245399,0.0,0.005026156528874756,0.0,0.963671012049244,0.0,0.1507780201803209,0.0,16.0,0.0
zoo_3month,HGST_20HUH721212ALN604,inceptiontime,sequence,in_horizon,0.01,1,47,29247,0.46808510638297873,0.0,0.06962025316455696,0.0,0.010052313057749512,0.0,0.963671012049244,0.0,0.1507780201803209,0.0,22.0,0.0
zoo_3month,HGST_20HUH721212ALN604,inceptiontime,sequence,in_horizon,0.02,1,47,29247,0.6808510638297872,0.0,0.05177993527508091,0.0,0.020036243033473518,0.0,0.963671012049244,0.0,0.1507780201803209,0.0,32.0,0.0
zoo_3month,HGST_20HUH721212ALN604,inceptiontime,sequence,in_horizon,0.04,1,47,29247,0.8085106382978723,0.0,0.03143093465674111,0.0,0.040038294525934284,0.0,0.963671012049244,0.0,0.1507780201803209,0.0,38.0,0.0
zoo_3month,HGST_20HUH721212ALN604,lstmfcn,sequence,in_horizon,0.005,1,47,29247,0.40425531914893614,0.0,0.1144578313253012,0.0,0.005026156528874756,0.0,0.9584836159066531,0.0,0.14231038481474162,0.0,19.0,0.0
zoo_3month,HGST_20HUH721212ALN604,lstmfcn,sequence,in_horizon,0.01,1,47,29247,0.5319148936170213,0.0,0.07836990595611286,0.0,0.010052313057749512,0.0,0.9584836159066531,0.0,0.14231038481474162,0.0,25.0,0.0
zoo_3month,HGST_20HUH721212ALN604,lstmfcn,sequence,in_horizon,0.02,1,47,29247,0.7021276595744681,0.0,0.05331179321486268,0.0,0.020036243033473518,0.0,0.9584836159066531,0.0,0.14231038481474162,0.0,33.0,0.0
zoo_3month,HGST_20HUH721212ALN604,lstmfcn,sequence,in_horizon,0.04,1,47,29247,0.7659574468085106,0.0,0.029826014913007456,0.0,0.040038294525934284,0.0,0.9584836159066531,0.0,0.14231038481474162,0.0,36.0,0.0
zoo_3month,HGST_20HUH721212ALN604,transformer,sequence,in_horizon,0.005,1,47,29247,0.44680851063829785,0.0,0.125,0.0,0.005026156528874756,0.0,0.9674073906909014,0.0,0.155406090667668,0.0,21.0,0.0
zoo_3month,HGST_20HUH721212ALN604,transformer,sequence,in_horizon,0.01,1,47,29247,0.5957446808510638,0.0,0.08695652173913043,0.0,0.010052313057749512,0.0,0.9674073906909014,0.0,0.155406090667668,0.0,28.0,0.0
zoo_3month,HGST_20HUH721212ALN604,transformer,sequence,in_horizon,0.02,1,47,29247,0.6808510638297872,0.0,0.05177993527508091,0.0,0.020036243033473518,0.0,0.9674073906909014,0.0,0.155406090667668,0.0,32.0,0.0
zoo_3month,HGST_20HUH721212ALN604,transformer,sequence,in_horizon,0.04,1,47,29247,0.7446808510638298,0.0,0.02902155887230514,0.0,0.040038294525934284,0.0,0.9674073906909014,0.0,0.155406090667668,0.0,35.0,0.0
zoo_3month,HGST_20HUH721212ALN604,autoencoder,tabular,in_horizon,0.005,1,47,29247,0.23404255319148937,0.0,0.06962025316455696,0.0,0.005026156528874756,0.0,0.9307375078823735,0.0,0.09314040149867302,0.0,11.0,0.0
zoo_3month,HGST_20HUH721212ALN604,autoencoder,tabular,in_horizon,0.01,1,47,29247,0.5106382978723404,0.0,0.07547169811320754,0.0,0.010052313057749512,0.0,0.9307375078823735,0.0,0.09314040149867302,0.0,24.0,0.0
zoo_3month,HGST_20HUH721212ALN604,autoencoder,tabular,in_horizon,0.02,1,47,29247,0.6170212765957447,0.0,0.04715447154471545,0.0,0.020036243033473518,0.0,0.9307375078823735,0.0,0.09314040149867302,0.0,29.0,0.0
zoo_3month,HGST_20HUH721212ALN604,autoencoder,tabular,in_horizon,0.04,1,47,29247,0.6808510638297872,0.0,0.02660016625103907,0.0,0.040038294525934284,0.0,0.9307375078823735,0.0,0.09314040149867302,0.0,32.0,0.0
zoo_3month,HGST_20HUH721212ALN604,lstm_ae,sequence,in_horizon,0.005,1,47,29247,0.23404255319148937,0.0,0.06962025316455696,0.0,0.005026156528874756,0.0,0.9275056336030518,0.0,0.0916518059224473,0.0,11.0,0.0
zoo_3month,HGST_20HUH721212ALN604,lstm_ae,sequence,in_horizon,0.01,1,47,29247,0.425531914893617,0.0,0.06369426751592357,0.0,0.010052313057749512,0.0,0.9275056336030518,0.0,0.0916518059224473,0.0,20.0,0.0
zoo_3month,HGST_20HUH721212ALN604,lstm_ae,sequence,in_horizon,0.02,1,47,29247,0.48936170212765956,0.0,0.03776683087027915,0.0,0.020036243033473518,0.0,0.9275056336030518,0.0,0.0916518059224473,0.0,23.0,0.0
zoo_3month,HGST_20HUH721212ALN604,lstm_ae,sequence,in_horizon,0.04,1,47,29247,0.7446808510638298,0.0,0.02902155887230514,0.0,0.040038294525934284,0.0,0.9275056336030518,0.0,0.0916518059224473,0.0,35.0,0.0
zoo_3month,HGST_20HUH721212ALN604,isolationforest,tabular,in_horizon,0.005,1,47,29247,0.2553191489361702,0.0,0.07547169811320754,0.0,0.005026156528874756,0.0,0.925309391348433,0.0,0.08584858984613031,0.0,12.0,0.0
zoo_3month,HGST_20HUH721212ALN604,isolationforest,tabular,in_horizon,0.01,1,47,29247,0.3829787234042553,0.0,0.057692307692307696,0.0,0.010052313057749512,0.0,0.925309391348433,0.0,0.08584858984613031,0.0,18.0,0.0
zoo_3month,HGST_20HUH721212ALN604,isolationforest,tabular,in_horizon,0.02,1,47,29247,0.6382978723404256,0.0,0.048701298701298704,0.0,0.020036243033473518,0.0,0.925309391348433,0.0,0.08584858984613031,0.0,30.0,0.0
