ds,model,seed,budget,crit,thr,row_rec,row_far,OT,E,M,CE,CN,recall,precision,far,mlt
HGST,LGBM,49,0.01,op,0.866,0.038348082595870206,0.00045086324504868986,15,23,124,12,965,0.09259259259259259,0.3,0.012282497441146366,51.5
HGST,LGBM,49,0.02,row,0.014000000000000002,0.5320269700800674,0.019385614150632734,14,114,34,119,858,0.08641975308641975,0.05668016194331984,0.1218014329580348,250.5
HGST,LGBM,49,0.02,op,0.437,0.05625790139064475,0.0005810791739191796,21,29,112,21,956,0.12962962962962962,0.29577464788732394,0.021494370522006142,50.0
HGST,LGBM,49,0.05,row,0.006,0.7513695743784239,0.048713553182481065,14,135,13,179,798,0.08641975308641975,0.042682926829268296,0.18321392016376664,390.0
HGST,LGBM,49,0.05,op,0.185,0.12536873156342182,0.0016909253422402032,15,56,91,52,925,0.09259259259259259,0.12195121951219512,0.05322415557830092,138.0
HGST,LGBM,50,0.001,row,0.17200000000000001,0.13421828908554573,0.00207555158300795,13,53,96,47,930,0.08024691358024691,0.11504424778761062,0.048106448311156604,147.0
HGST,LGBM,50,0.005,row,0.052000000000000005,0.32321955330804886,0.005056969468880839,19,84,59,80,897,0.11728395061728394,0.10382513661202186,0.08188331627430911,168.0
HGST,LGBM,50,0.01,row,0.030000000000000002,0.44016013485040034,0.009592698875664487,23,94,45,95,882,0.1419753086419753,0.10849056603773585,0.09723643807574207,229.0
HGST,LGBM,50,0.01,op,0.873,0.05035819637589549,0.0006623700428094275,14,25,123,10,967,0.08641975308641975,0.2857142857142857,0.01023541453428864,110.0
HGST,LGBM,50,0.02,row,0.014000000000000002,0.5587863463969659,0.020124758902949617,18,114,30,116,861,0.1111111111111111,0.07258064516129033,0.1187308085977482,281.5
HGST,LGBM,50,0.02,op,0.669,0.06868942267172355,0.0007647363221527026,13,33,116,15,962,0.08024691358024691,0.21311475409836064,0.015353121801432957,132.0
HGST,LGBM,50,0.05,row,0.005,0.7947745469869364,0.05370692007338759,14,136,12,179,798,0.08641975308641975,0.0425531914893617,0.18321392016376664,401.5
HGST,LGBM,50,0.05,op,0.166,0.14770332911925832,0.0021786705555816906,13,54,95,48,929,0.08024691358024691,0.11304347826086956,0.04912998976458546,147.0
HGST,LGBM,51,0.001,row,0.092,0.08280657395701643,0.0012212447664298818,9,42,111,24,953,0.05555555555555555,0.12,0.02456499488229273,143.0
HGST,LGBM,51,0.005,row,0.010000000000000002,0.23640960809102401,0.0036264759843816154,20,63,79,48,929,0.12345679012345678,0.15267175572519084,0.04912998976458546,134.0
HGST,LGBM,51,0.01,row,0.004,0.3994943109987358,0.008330055981559016,17,89,56,58,919,0.10493827160493827,0.10365853658536585,0.0593654042988741,166.0
HGST,LGBM,51,0.01,op,0.962,0.045512010113780026,0.0004297878345956626,12,23,127,9,968,0.07407407407407407,0.2727272727272727,0.009211873080859774,75.0
HGST,LGBM,51,0.02,row,0.004,0.3994943109987358,0.008330055981559016,17,89,56,58,919,0.10493827160493827,0.10365853658536585,0.0593654042988741,166.0
HGST,LGBM,51,0.02,op,0.182,0.0684787189211968,0.0006499506045067507,11,32,119,16,961,0.06790123456790123,0.1864406779661017,0.016376663254861822,99.0
HGST,LGBM,51,0.05,row,0.002,0.7528445006321113,0.055592792962318296,12,130,20,161,816,0.07407407407407407,0.039603960396039604,0.1647901740020471,420.5
HGST,LGBM,51,0.05,op,0.012,0.1959544879898862,0.0024552853177776733,15,55,92,41,936,0.09259259259259259,0.13513513513513514,0.04196519959058342,139.0
HGST,LGBM,52,0.001,row,0.099,0.13211125158027812,0.0012788257985604742,15,53,94,27,950,0.09259259259259259,0.15789473684210525,0.027635619242579325,134.5
HGST,LGBM,52,0.005,row,0.019000000000000003,0.2743362831858407,0.004209813237992191,17,80,65,49,928,0.10493827160493827,0.11643835616438356,0.05015353121801433,160.0
HGST,LGBM,52,0.01,row,0.013000000000000001,0.4420564686051412,0.010543726772357341,15,100,47,66,911,0.09259259259259259,0.08287292817679558,0.06755373592630501,238.0
HGST,LGBM,52,0.02,row,0.006,0.5594184576485461,0.01987185397751329,14,111,37,94,883,0.08641975308641975,0.0639269406392694,0.09621289662231321,244.0
HGST,LGBM,52,0.02,op,0.7010000000000001,0.06363253265908134,0.0006525850308133791,15,31,116,19,958,0.09259259259259259,0.23076923076923078,0.019447287615148412,117.0
