ds,crit,metric,seed,by_rec,by_prec,rand,best
Seagate,row,precision,56,0.1849710982658959,0.1849710982658959,0.18345771170904315,0.23
Seagate,row,precision,57,0.2218543046357615,0.2024539877300613,0.2091085488396497,0.2385964912280701
Seagate,row,precision,58,0.2070063694267516,0.2775510204081632,0.20447861093497846,0.2775510204081632
Seagate,row,precision,59,0.2176656151419558,0.1763085399449036,0.198060576138689,0.2397003745318352
Seagate,row,precision,60,0.1823204419889502,0.1792717086834734,0.1965267609408781,0.2605363984674329
Seagate,row,precision,61,0.1693989071038251,0.2462121212121212,0.20886998074229518,0.2518248175182482
Seagate,row,precision,62,0.2142857142857142,0.3023255813953488,0.21356840833585014,0.3023255813953488
Seagate,row,precision,63,0.2233009708737864,0.2589928057553957,0.20713280352249527,0.2589928057553957
Seagate,row,precision,64,0.1596009975062344,0.175,0.19261230272126784,0.2527881040892193
Seagate,row,precision,65,0.1582914572864321,0.3022222222222222,0.21638139872732742,0.3022222222222222
Seagate,row,precision,66,0.1959654178674351,0.1862464183381088,0.19085340824199531,0.237037037037037
Seagate,row,precision,67,0.1750663129973474,0.1750663129973474,0.19233210641232262,0.2327272727272727
Seagate,row,precision,68,0.1982507288629737,0.1582914572864321,0.2039589103841528,0.25390625
Seagate,row,precision,69,0.2248322147651006,0.1734417344173441,0.21204571862530153,0.2777777777777778
Seagate,row,precision,70,0.209090909090909,0.1846590909090909,0.1972835393091125,0.2282608695652173
Seagate,row,precision,71,0.1965317919075144,0.1684210526315789,0.20014864511445937,0.2666666666666666
Seagate,op,recall,42,0.24,0.2311111111111111,0.19,0.24
Seagate,op,recall,43,0.28,0.2311111111111111,0.2255555555555555,0.28
Seagate,op,recall,44,0.2488888888888888,0.1822222222222222,0.2255555555555555,0.2488888888888888
Seagate,op,recall,45,0.2222222222222222,0.2533333333333333,0.22555555555555554,0.2533333333333333
Seagate,op,recall,46,0.2488888888888888,0.2844444444444444,0.22999999999999995,0.2844444444444444
Seagate,op,recall,47,0.2666666666666666,0.2177777777777777,0.23333333333333328,0.2666666666666666
Seagate,op,recall,48,0.2488888888888888,0.2977777777777777,0.23333333333333328,0.2977777777777777
Seagate,op,recall,49,0.2222222222222222,0.2222222222222222,0.23444444444444443,0.2666666666666666
Seagate,op,recall,50,0.2666666666666666,0.2666666666666666,0.2222222222222222,0.2666666666666666
Seagate,op,recall,51,0.1955555555555555,0.2444444444444444,0.21333333333333332,0.2444444444444444
Seagate,op,recall,52,0.2488888888888888,0.2266666666666666,0.21999999999999995,0.2488888888888888
Seagate,op,recall,53,0.1911111111111111,0.2177777777777777,0.2333333333333333,0.2711111111111111
Seagate,op,recall,54,0.1511111111111111,0.1511111111111111,0.20888888888888885,0.2622222222222222
Seagate,op,recall,55,0.2266666666666666,0.2177777777777777,0.20111111111111107,0.2266666666666666
Seagate,op,recall,56,0.2044444444444444,0.2044444444444444,0.22444444444444442,0.2666666666666666
Seagate,op,recall,57,0.28,0.2,0.21444444444444444,0.28
Seagate,op,recall,58,0.2533333333333333,0.2844444444444444,0.24222222222222217,0.2844444444444444
Seagate,op,recall,59,0.2088888888888889,0.24,0.21666666666666665,0.24
Seagate,op,recall,60,0.2577777777777778,0.2133333333333333,0.22666666666666666,0.2577777777777778
Seagate,op,recall,61,0.2355555555555555,0.2888888888888888,0.2344444444444444,0.2888888888888888
Seagate,op,recall,62,0.2311111111111111,0.2577777777777778,0.2222222222222222,0.2577777777777778
Seagate,op,recall,63,0.2311111111111111,0.2488888888888888,0.23222222222222216,0.2488888888888888
Seagate,op,recall,64,0.2177777777777777,0.1822222222222222,0.22888888888888884,0.2666666666666666
Seagate,op,recall,65,0.2355555555555555,0.2622222222222222,0.2211111111111111,0.2622222222222222
Seagate,op,recall,66,0.2933333333333333,0.2311111111111111,0.2522222222222222,0.2933333333333333
Seagate,op,recall,67,0.2266666666666666,0.2266666666666666,0.2222222222222222,0.2533333333333333
Seagate,op,recall,68,0.2444444444444444,0.2177777777777777,0.20999999999999996,0.2444444444444444
Seagate,op,recall,69,0.24,0.1866666666666666,0.23333333333333328,0.2755555555555555
Seagate,op,recall,70,0.2266666666666666,0.2133333333333333,0.2133333333333333,0.2266666666666666
Seagate,op,recall,71,0.2488888888888888,0.2444444444444444,0.22222222222222215,0.2488888888888888
Seagate,op,precision,42,0.4186046511627907,0.4369747899159664,0.37712746100229,0.4369747899159664
Seagate,op,precision,43,0.3987341772151899,0.3909774436090225,0.3776979161709654,0.4140625
Seagate,op,precision,44,0.4,0.3388429752066115,0.4012136841919228,0.4396551724137931
Seagate,op,precision,45,0.4065040650406504,0.4789915966386555,0.41591756621347725,0.4789915966386555
Seagate,op,precision,46,0.4274809160305343,0.4705882352941176,0.4148485667217639,0.4705882352941176
Seagate,op,precision,47,0.3896103896103896,0.4083333333333333,0.4139974249888042,0.4913793103448275
Seagate,op,precision,48,0.4242424242424242,0.4890510948905109,0.4126408032563224,0.4890510948905109
Seagate,op,precision,49,0.3968253968253968,0.3968253968253968,0.40803680229153805,0.4444444444444444
