serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
2AGM8UNY,1,1,2025-10-28,2026-03-12,135.0,Early,0,1,0,1,0,0,1.0,0.999351527270464,2019-08-13,2268.0,0.971
2AGM8V7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-16,,0.971
2AGM9MXY,1,0,,2025-09-21,,Missed,0,0,0,0,1,0,0.011755251733903228,,2019-05-04,,0.971
2AGM9PJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.009171748083030019,,2019-05-04,,0.971
2AGM9RGY,1,0,,2022-12-23,,Missed,0,0,0,0,1,0,0.0007583475897980872,,2019-05-16,,0.971
2AGM9S6Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0056756567169184416,,2019-05-16,,0.971
2AGM9SDY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-04,,0.971
2AGM9U1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-16,,0.971
2AGMDJKY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00094249467521569,,2019-05-04,,0.971
2AGMDUAY,1,0,,2023-02-04,,Missed,0,0,0,0,1,0,0.008577287508785909,,2019-05-16,,0.971
2AGMDY1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004880242006189422,,2019-08-14,,0.971
2AGME0XY,1,0,,2024-05-29,,Missed,0,0,0,0,1,0,0.5377720532216499,,2019-05-16,,0.971
2AGME3BY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0057587589402974815,,2019-05-16,,0.971
2AGME9PY,1,0,,2024-08-06,,Missed,0,0,0,0,1,0,0.05901602664641333,,2019-08-13,,0.971
2AGMGAYY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-16,,0.971
2AGMGDPY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-13,,0.971
2AGMGKLY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0011993507505431537,,2019-08-13,,0.971
2AGMGXEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-14,,0.971
